"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USC00051886","CORTEZ, CO US","1992-01","0.71","9.5","22.6","37.2","8.0"
"USC00051886","CORTEZ, CO US","1992-02","0.90","0.0","33.8","45.3","22.3"
"USC00051886","CORTEZ, CO US","1992-03","0.30","0.0","40.8","52.9","28.8"
"USC00051886","CORTEZ, CO US","1992-04","0.17","0.0","49.4","66.1","32.7"
"USC00051886","CORTEZ, CO US","1992-05","3.70","0.0","56.2","71.5","40.8"
"USC00051886","CORTEZ, CO US","1992-06","0.18","0.0","61.3","80.0","42.7"
"USC00051886","CORTEZ, CO US","1992-07","2.07","0.0","67.6","84.5","50.6"
"USC00051886","CORTEZ, CO US","1992-08","1.31","0.0","68.1","85.2","51.0"
"USC00051886","CORTEZ, CO US","1992-09","1.90","0.0","60.9","78.6","43.3"
"USC00051886","CORTEZ, CO US","1992-10","1.47","0.0","52.7","69.9","35.6"
"USC00051886","CORTEZ, CO US","1992-11","0.49",,"32.6","45.7","19.4"
"USC00051886","CORTEZ, CO US","1992-12","0.53","7.3","23.9","37.4","10.3"
"USC00051886","CORTEZ, CO US","1993-01","1.54",,"30.8","41.1","20.6"
"USC00051886","CORTEZ, CO US","1993-02","2.53",,"33.3","43.1","23.4"
"USC00051886","CORTEZ, CO US","1993-03","0.22","0.0","40.2","54.4","26.0"
"USC00051886","CORTEZ, CO US","1993-04","0.41","0.0","45.6","61.9","29.2"
"USC00051886","CORTEZ, CO US","1993-05","0.95","0.0","55.7","72.5","39.0"
"USC00051886","CORTEZ, CO US","1993-06","0.08","0.0","62.1","81.3","42.8"
"USC00051886","CORTEZ, CO US","1993-07","0.00","0.0","68.5","87.4","49.7"
"USC00051886","CORTEZ, CO US","1993-08","2.75","0.0","67.4","82.9","52.0"
"USC00051886","CORTEZ, CO US","1993-09","0.79","0.0","59.7","77.6","41.8"
"USC00051886","CORTEZ, CO US","1993-10","1.99","0.0","48.4","64.3","32.4"
"USC00051886","CORTEZ, CO US","1993-11","1.01","0.0","33.9","48.6","19.2"
"USC00051886","CORTEZ, CO US","1993-12","0.43","0.0","27.6","43.3","11.9"
"USC00051886","CORTEZ, CO US","1994-01","0.59","0.0","29.8","45.0","14.6"
"USC00051886","CORTEZ, CO US","1994-02","0.76","5.8","27.5","41.9","13.2"
"USC00051886","CORTEZ, CO US","1994-03","1.17","0.0","42.3","57.8","26.8"
"USC00051886","CORTEZ, CO US","1994-04","1.60",,"47.2","61.6","32.7"
"USC00051886","CORTEZ, CO US","1994-05","0.79","0.0","56.0","72.9","39.0"
"USC00051886","CORTEZ, CO US","1994-06","0.20","0.0","68.4","87.9","48.8"
"USC00051886","CORTEZ, CO US","1994-07","0.95","0.0","72.1","90.8","53.4"
"USC00051886","CORTEZ, CO US","1994-08","0.86","0.0","72.6","89.1","56.1"
"USC00051886","CORTEZ, CO US","1994-09","1.69","0.0","62.4","79.7","45.0"
"USC00051886","CORTEZ, CO US","1994-10","1.11","0.0","47.9","63.4","32.3"
"USC00051886","CORTEZ, CO US","1994-11","0.79","0.0","35.1","47.7","22.5"
"USC00051886","CORTEZ, CO US","1994-12","0.59","0.0","32.3","45.1","19.5"
"USC00051886","CORTEZ, CO US","1995-01","1.94","9.0","27.8","40.2","15.4"
"USC00051886","CORTEZ, CO US","1995-02","0.32","0.0","40.0","54.4","25.6"
"USC00051886","CORTEZ, CO US","1995-03","4.61",,"41.0","54.1","27.9"
"USC00051886","CORTEZ, CO US","1995-04","1.47","0.0","42.9","57.4","28.4"
"USC00051886","CORTEZ, CO US","1995-05","1.17","0.0","50.6","65.5","35.8"
"USC00051886","CORTEZ, CO US","1995-06","0.91","0.0","62.8","80.7","44.8"
"USC00051886","CORTEZ, CO US","1995-07","0.89","0.0","69.4","87.3","51.5"
"USC00051886","CORTEZ, CO US","1995-08","1.51","0.0","71.5","87.5","55.5"
"USC00051886","CORTEZ, CO US","1995-09","1.70","0.0","62.7","80.5","45.0"
"USC00051886","CORTEZ, CO US","1995-10","0.02","0.0","47.9","67.4","28.4"
"USC00051886","CORTEZ, CO US","1995-11","0.98","0.0","39.2","55.8","22.6"
"USC00051886","CORTEZ, CO US","1995-12","0.33","0.0","32.1","47.2","17.1"
"USC00051886","CORTEZ, CO US","1996-01","0.76","1.3","28.4","43.4","13.4"
"USC00051886","CORTEZ, CO US","1996-02","1.20","0.0","35.3","50.3","20.4"
"USC00051886","CORTEZ, CO US","1996-03","0.62","1.0",,,
"USC00051886","CORTEZ, CO US","1996-04","0.57","0.5",,"65.4",
"USC00051886","CORTEZ, CO US","1996-05","0.15","0.0","59.0","78.4","39.6"
"USC00051886","CORTEZ, CO US","1996-06","1.47","0.0","66.8","87.2","46.4"
"USC00051886","CORTEZ, CO US","1996-07","0.90","0.0","72.5","90.6","54.5"
"USC00051886","CORTEZ, CO US","1996-08","1.13","0.0","70.1","89.5","50.6"
"USC00051886","CORTEZ, CO US","1996-09","3.09","0.0","58.2","74.5","42.0"
"USC00051886","CORTEZ, CO US","1996-10","3.30","0.0","50.2","66.8","33.6"
"USC00051886","CORTEZ, CO US","1996-11","2.19","0.0","39.2","52.2","26.1"
"USC00051886","CORTEZ, CO US","1996-12","0.58","6.9","28.4","39.2","17.5"
"USC00051886","CORTEZ, CO US","1997-01","2.85","13.8","26.3","39.1","13.5"
"USC00051886","CORTEZ, CO US","1997-02","0.81","3.5","32.6","45.6","19.5"
"USC00051886","CORTEZ, CO US","1997-03","0.00","0.0",,,
"USC00051886","CORTEZ, CO US","1997-06","0.35","0.0","65.8","83.4","48.3"
"USC00051886","CORTEZ, CO US","1997-07","1.21","0.0","71.1","87.4","54.8"
"USC00051886","CORTEZ, CO US","1997-08","1.79","0.0","70.3","85.3","55.3"
"USC00051886","CORTEZ, CO US","1997-09","1.60","0.0","65.6","80.4","50.8"
"USC00051886","CORTEZ, CO US","1997-10","1.13","6.2",,,
"USC00051886","CORTEZ, CO US","1997-11","0.82","0.7",,,
"USC00051886","CORTEZ, CO US","1997-12","0.59","7.2","29.7","42.3","17.1"
"USC00051886","CORTEZ, CO US","1998-01","0.59","6.1","32.4","44.8","19.9"
"USC00051886","CORTEZ, CO US","1998-02","0.91","9.4","32.6","43.2","21.9"
"USC00051886","CORTEZ, CO US","1998-03","1.29","7.8","40.3","54.8","25.8"
"USC00051886","CORTEZ, CO US","1998-04","0.80","6.2","44.9","59.8","30.1"
"USC00051886","CORTEZ, CO US","1998-05","0.54","0.0","56.1","72.8","39.5"
"USC00051886","CORTEZ, CO US","1998-06","0.09","0.0","63.3","81.4","45.2"
"USC00051886","CORTEZ, CO US","1998-07","2.43","0.0","74.4","89.7","59.1"
"USC00051886","CORTEZ, CO US","1998-08","1.30","0.0","71.7","87.6","55.9"
"USC00051886","CORTEZ, CO US","1998-09","0.61","0.0","66.8","82.3","51.3"
"USC00051886","CORTEZ, CO US","1998-10","3.72","1.6","50.7","64.0","37.3"
"USC00051886","CORTEZ, CO US","1998-12","0.29","3.3","31.7","45.7","17.7"
"USC00051886","CORTEZ, CO US","1999-01","0.46","3.0","34.4","47.6","21.3"
"USC00051886","CORTEZ, CO US","1999-02","0.30","1.8","37.1","51.3","22.9"
"USC00051886","CORTEZ, CO US","1999-03","0.22","2.2","45.2","61.3","29.1"
"USC00051886","CORTEZ, CO US","1999-04","1.84","5.4","44.8","57.5","32.1"
"USC00051886","CORTEZ, CO US","1999-05","1.78","0.3","54.5","69.1","39.9"
"USC00051886","CORTEZ, CO US","1999-06","0.41","0.0","64.2","81.7","46.8"
"USC00051886","CORTEZ, CO US","1999-07","1.51","0.0","72.4","86.2","58.6"
"USC00051886","CORTEZ, CO US","1999-08","1.96","0.0","69.4","83.0","55.8"
"USC00051886","CORTEZ, CO US","1999-09","0.77","0.0","60.9","77.5","44.3"
"USC00051886","CORTEZ, CO US","1999-10","0.00","0.0","52.3","71.3","33.3"
"USC00051886","CORTEZ, CO US","1999-11","0.05","0.2",,,
"USC00051886","CORTEZ, CO US","1999-12","0.07","0.9","30.1","45.4","14.8"
"USC00051886","CORTEZ, CO US","2000-01","1.48","8.3","32.9","45.8","20.0"
"USC00051886","CORTEZ, CO US","2000-02","1.02","11.3","37.1","48.9","25.3"
"USC00051886","CORTEZ, CO US","2000-03","1.83","9.6","40.7","52.5","28.8"
"USC00051886","CORTEZ, CO US","2000-04","0.49","1.7","51.0","67.0","35.0"
"USC00051886","CORTEZ, CO US","2000-05","0.25","0.0","60.4","78.1","42.8"
"USC00051886","CORTEZ, CO US","2000-06","0.13","0.0",,,
"USC00051886","CORTEZ, CO US","2000-07","0.57","0.0","73.9","91.5","56.4"
"USC00051886","CORTEZ, CO US","2000-08","0.72","0.0","74.0","90.0","58.1"
"USC00051886","CORTEZ, CO US","2000-09","0.43","0.0","64.4","81.2","47.6"
"USC00051886","CORTEZ, CO US","2000-10","1.52","0.7","51.2","64.9","37.5"
"USC00051886","CORTEZ, CO US","2000-11","0.70","7.2","33.3","44.8","21.8"
"USC00051886","CORTEZ, CO US","2000-12","0.32","3.5","32.6","45.4","19.8"
"USC00051886","CORTEZ, CO US","2001-01","1.10","14.6","28.2","41.5","14.9"
"USC00051886","CORTEZ, CO US","2001-02","0.55","3.6","34.8","46.5","23.2"
"USC00051886","CORTEZ, CO US","2001-03","0.59","5.5","42.0","55.0","29.0"
"USC00051886","CORTEZ, CO US","2001-04","0.61","1.5",,,
"USC00051886","CORTEZ, CO US","2001-05","0.69","0.2","60.0","77.5","42.5"
"USC00051886","CORTEZ, CO US","2001-06","0.05","0.0","68.5","86.7","50.3"
"USC00051886","CORTEZ, CO US","2001-07","0.47","0.0","74.0","90.0","58.1"
"USC00051886","CORTEZ, CO US","2001-08","2.13","0.0","70.7","86.0","55.3"
"USC00051886","CORTEZ, CO US","2001-09","0.39","0.0","65.5","83.2","47.7"
"USC00051886","CORTEZ, CO US","2001-10","0.39","0.0","53.0","70.1","36.0"
"USC00051886","CORTEZ, CO US","2001-11","0.93","7.1","41.8","56.5","27.2"
"USC00051886","CORTEZ, CO US","2001-12","0.67","7.3","29.2","42.1","16.4"
"USC00051886","CORTEZ, CO US","2002-01","0.00","0.4","29.8","43.3","16.3"
"USC00051886","CORTEZ, CO US","2002-02","0.03","0.3","32.0","47.5","16.4"
"USC00051886","CORTEZ, CO US","2002-03","0.73","7.3","38.2","53.3","23.1"
"USC00051886","CORTEZ, CO US","2002-04","0.13","0.3","52.4","69.3","35.4"
"USC00051886","CORTEZ, CO US","2002-05","0.10","0.0","59.0","76.4","41.7"
