Table of U.S. Hantavirus Cases by 1993 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	3	7	0	10
Colorado	4	1	0	5
Florida	0	1	0	1
Idaho	1	0	0	1
Kansas	1	1	0	2
Louisiana	1	0	0	1
Montana	2	0	0	2
Nevada	2	2	0	4
New Mexico	10	8	0	18
North Dakota	1	0	0	1
Pennsylvania	0	1	0	1
Texas	1	0	0	1
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 1994 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	7	0	8
California	1	2	0	3
Colorado	1	0	0	1
Idaho	1	0	0	1
Indiana	1	0	0	1
Kansas	1	0	0	1
Montana	0	1	0	1
Nevada	0	2	0	2
New Mexico	3	2	0	5
Rhode Island	1	0	0	1
Texas	0	1	0	1
Utah	1	4	0	5
Washington	1	1	0	2

Table of U.S. Hantavirus Cases by 1995 (All States)
State	Died	Lived	Unknown Outcome	Total
California	1	1	0	2
Colorado	1	0	0	1
Nevada	1	3	0	4
New Mexico	1	2	0	3
New York	1	0	0	1
North Carolina	0	1	0	1
Oregon	2	1	0	3
South Dakota	0	3	0	3
Texas	1	1	0	2
Washington	2	2	0	4

Table of U.S. Hantavirus Cases by 1996 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	2	0	2
California	0	1	0	1
Colorado	0	1	0	1
Idaho	0	2	0	2
Illinois	1	0	0	1
Kansas	1	1	0	2
Montana	0	1	0	1
New Mexico	0	1	0	1
Oklahoma	0	1	0	1
Oregon	0	1	0	1
Texas	2	1	0	3
Utah	1	1	0	2
Washington	2	2	0	4

Table of U.S. Hantavirus Cases by 1997 (All States)
State	Died	Lived	Unknown Outcome	Total
California	0	1	0	1
Colorado	0	2	0	2
Idaho	0	1	0	1
Iowa	1	0	0	1
Kansas	0	2	0	2
Montana	0	2	0	2
Nevada	0	1	0	1
New Mexico	0	2	0	2
Pennsylvania	2	0	0	2
South Dakota	0	1	0	1
Texas	1	3	0	4
Washington	1	2	0	3
Wisconsin	0	1	0	1

Table of U.S. Hantavirus Cases by 1998 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	0	3	0	3
California	0	2	0	2
Colorado	3	2	0	5
Idaho	0	1	0	1
Iowa	0	1	0	1
Kansas	0	2	0	2
Montana	1	2	0	3
Nebraska	0	1	0	1
Nevada	1	4	0	5
New Mexico	4	2	0	6
Utah	0	2	0	2
Washington	0	2	0	2

Table of U.S. Hantavirus Cases by 1999 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	2	0	3
California	3	3	0	6
Colorado	1	3	0	4
Idaho	1	1	0	2
Indiana	1	0	0	1
Iowa	0	2	0	2
Kansas	0	2	0	2
Montana	0	2	0	2
Nevada	0	1	0	1
New Mexico	5	5	0	10
Pennsylvania	0	2	0	2
Texas	0	2	0	2
Washington	1	4	0	5
Wyoming	1	0	0	1

Table of U.S. Hantavirus Cases by 2000 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	3	0	4
California	2	6	0	8
Colorado	2	5	0	7
Kansas	1	0	0	1
Montana	0	4	0	4
New Mexico	3	7	0	10
North Dakota	0	2	0	2
South Dakota	0	1	0	1
Texas	0	2	0	2
Utah	2	3	0	5
Vermont	0	1	0	1
Washington	0	1	0	1

Table of U.S. Hantavirus Cases by 2001 (All States)
State	Died	Lived	Unknown Outcome	Total
Arizona	1	0	0	1
